idx,Name,Points,Discipline,Gender,Sex
206,KLEMEN NOVAK,0.75,Lead,Male,1
207,HONGIL KIM,0.75,Lead,Male,1
208,SEAN FAULKNER,0.72,Lead,Male,1
209,FREDRIK SERLACHIUS,0.72,Lead,Male,1
210,JAKOB HEBER NORUM,0.72,Lead,Male,1
211,PIETRO BIAGINI,0.7,Lead,Male,1
212,GERGŐ VÁLYI,0.7,Lead,Male,1
213,GIORGIO TOMATIS,0.67,Lead,Male,1
214,JON PÅL HAMRE,0.65,Lead,Male,1
215,SHANE MESSER,0.62,Lead,Male,1
216,JAN-LUCA POSCH,0.6,Lead,Male,1
217,MAXIMILLIAN MILNE,0.55,Lead,Male,1
218,STEFAN BEDNAR,0.55,Lead,Male,1
219,RUSTAM GELMANOV,0.55,Lead,Male,1
220,AIDAN ROBERTS,0.5,Lead,Male,1
221,ISAAC LEFF,0.5,Lead,Male,1
222,JAN EIVIND DANIELSEN,0.5,Lead,Male,1
223,SUNGBO SEO,0.38,Lead,Male,1
224,JANJA GARNBRET,2444,Lead,Female,2
225,JAIN KIM,1752,Lead,Female,2
226,JESSICA PILZ,1690,Lead,Female,2
227,MINA MARKOVIC,1145,Lead,Female,2
228,ANAK VERHOEVEN,1116,Lead,Female,2
229,CHAEHYUN SEO,1040,Lead,Female,2
230,AKIYO NOGUCHI,890,Lead,Female,2
231,JULIA CHANOURDIE,874.85,Lead,Female,2
232,MIA KRAMPL,780.67,Lead,Female,2
233,ASHIMA SHIRAISHI,746.5,Lead,Female,2
234,VITA LUKAN,690,Lead,Female,2
235,MOLLY THOMPSON-SMITH,683.99,Lead,Female,2
236,LUCKA RAKOVEC,663.5,Lead,Female,2
237,LAURA ROGORA,638.74,Lead,Female,2
238,NATSUKI TANII,614,Lead,Female,2
239,TJASA KALAN,546.7,Lead,Female,2
240,MEI KOTAKE,510.23,Lead,Female,2
241,CHRISTINE SCHRANZ,506.74,Lead,Female,2
242,SALOMÉ ROMAIN,495.24,Lead,Female,2
243,HANNAH SCHUBERT,480.35,Lead,Female,2
244,HÉLÈNE JANICOT,476.97,Lead,Female,2
245,KATHARINA POSCH,461,Lead,Female,2
246,AI MORI,440,Lead,Female,2
247,ANNE-SOPHIE KOLLER,419.25,Lead,Female,2
248,RISA OTA,419,Lead,Female,2
249,JULIA FISER,418.29,Lead,Female,2
250,YUETONG ZHANG,414,Lead,Female,2
251,NATSUMI HIRANO,408.19,Lead,Female,2
252,IEVGENIIA KAZBEKOVA,389.02,Lead,Female,2
253,MATHILDE BECERRA,386.33,Lead,Female,2
254,MIHO NONAKA,321,Lead,Female,2
255,DINARA FAKHRITDINOVA,308.45,Lead,Female,2
256,TINA JOHNSEN HAFSAAS,302.3,Lead,Female,2
257,NATALIA GROSSMAN,296,Lead,Female,2
258,MANON HILY,261.5,Lead,Female,2
259,MARGO HAYES,245,Lead,Female,2
