idx,Country,Points,Year,Discipline
134,KAZ,0,2018,Lead
135,KOR,810.91,2018,Lead
136,NED,5.65,2018,Lead
137,NOR,7.8,2018,Lead
138,POL,0,2018,Lead
139,RUS,135.8,2018,Lead
140,SLO,1260.19,2018,Lead
141,SRB,0,2018,Lead
142,SUI,218.17,2018,Lead
143,SVK,3.7,2018,Lead
144,SWE,12.69,2018,Lead
145,TPE,1.32,2018,Lead
146,UKR,160.85,2018,Lead
147,USA,649.02,2018,Lead
148,ARG,7.95,2019,Lead
149,AUS,3.48,2019,Lead
150,AUT,580.71,2019,Lead
151,BEL,194.87,2019,Lead
152,BUL,0,2019,Lead
153,CAN,213.76,2019,Lead
154,CHI,0,2019,Lead
155,CHN,343.1,2019,Lead
156,CZE,486.46,2019,Lead
157,DEN,0,2019,Lead
158,ECU,0.55,2019,Lead
159,ESP,273.6,2019,Lead
160,FIN,0,2019,Lead
161,FRA,498.82,2019,Lead
162,GBR,390.74,2019,Lead
163,GER,420.1,2019,Lead
164,HKG,0.5,2019,Lead
165,HUN,0,2019,Lead
166,INA,0,2019,Lead
167,IRI,26,2019,Lead
168,ISR,16.67,2019,Lead
169,ITA,455.85,2019,Lead
170,JPN,2570.75,2019,Lead
171,KAZ,0,2019,Lead
172,KOR,810.91,2019,Lead
173,NED,5.65,2019,Lead
174,NOR,7.8,2019,Lead
175,POL,0,2019,Lead
176,RUS,135.8,2019,Lead
177,SLO,1260.19,2019,Lead
178,SRB,0,2019,Lead
179,SUI,218.17,2019,Lead
180,SVK,3.7,2019,Lead
181,SWE,12.69,2019,Lead
182,TPE,1.32,2019,Lead
183,UKR,160.85,2019,Lead
184,USA,649.02,2019,Lead
185,ARG,1.37,2021,Lead
186,AUS,7.32,2021,Lead
187,AUT,370.64,2021,Lead
188,BEL,89.47,2021,Lead
189,BUL,168,2021,Lead
190,CAN,117.47,2021,Lead
191,CHI,1.3,2021,Lead
192,CHN,0,2021,Lead
193,CZE,396.49,2021,Lead
194,DEN,0,2021,Lead
195,ECU,0,2021,Lead
196,ESP,195.4,2021,Lead
197,FIN,20,2021,Lead
198,FRA,709.31,2021,Lead
